bottleneck_dir,shoes-primary-color-white,shoes-primary-color-beige,shoes-primary-color-black,shoes-primary-color-brown,shoes-primary-color-grey,shoes-primary-color-blue,shoes-primary-color-navy,shoes-primary-color-teal,shoes-primary-color-green,shoes-primary-color-olive,shoes-primary-color-pink,shoes-primary-color-red,shoes-primary-color-maroon,shoes-primary-color-purple,shoes-primary-color-orange,shoes-primary-color-yellow,shoes-secondary-color-white,shoes-secondary-color-beige,shoes-secondary-color-black,shoes-secondary-color-brown,shoes-secondary-color-grey,shoes-secondary-color-blue,shoes-secondary-color-navy,shoes-secondary-color-teal,shoes-secondary-color-green,shoes-secondary-color-olive,shoes-secondary-color-pink,shoes-secondary-color-red,shoes-secondary-color-maroon,shoes-secondary-color-purple,shoes-secondary-color-orange,shoes-secondary-color-yellow,shoes-secondary-color-none,shoes-type-boat/loafer,shoes-type-boots,shoes-type-sneakers,shoes-type-sport,shoes-type-sandals,shoes-type-dress-shoes,shoes-type-casual-shoes,shoes-others-toe-cap,shoes-others-gum-sole,shoes-others-with-logo,shoes-others-high-cut,shoes-materials-leather,shoes-materials-canvas,shoes-materials-suede,shoes-materials-rubber
bottlenecks/Clean clothes/Shoes/shoes2003.jpg.txt,0.002545699,0.002635231,0.924913168,0.020153539,0.038093861,0.000648084,0.002379717,0.000206986,0.000525523,0.001854318,0.000691211,0.000971891,0.004065405,0.000124735,3.08E-05,0.00015983,0.08091861,0.00089444,0.219753295,0.077452608,0.010411844,0.00548708,0.008895388,0.000198006,0.001277164,0.000687284,0.000121097,0.001347509,0.007854754,4.49E-05,8.01E-05,0.002135403,0.582440436,0.001230759,0.005289858,0.018987389,0.001483121,0.000185349,0.971180439,0.001643011,0.02931785,0.00744214,0.062948473,0.082272798,0.980316103,0.028632291,0.088780783,0.000429544
bottlenecks/Clean clothes/Shoes/shoes1960.jpg.txt,0.002906035,0.002903201,0.864539146,0.031867091,0.00999654,0.003707117,0.029718775,0.000951904,0.001711977,0.000845307,0.000664843,0.007811275,0.041686561,0.000366109,3.86E-05,0.000285438,0.044329543,0.006019402,0.155658409,0.054973185,0.003067249,0.002961519,0.007271968,0.000107906,0.000256011,0.000369669,0.000419646,0.000773691,0.010313313,0.00008433,0.000814639,0.001693146,0.710886419,0.113168374,0.000351816,0.033754218,0.005465269,0.000398643,0.828439176,0.01842243,0.017059889,0.003777559,0.075717121,0.007735176,0.942362249,0.046574,0.053614505,0.001168673
bottlenecks/Clean clothes/Shoes/shoes1742.jpg.txt,0.29821372,0.03230606,0.001960828,0.000586457,0.589346945,0.007100746,0.021398732,0.002086692,0.026076227,0.003426871,0.000581692,0.001181222,0.013807258,1.97E-05,0.000257302,0.001649448,0.386666626,0.000801603,0.007443647,0.012507686,0.004527425,0.000207486,0.015161651,4.83E-05,0.008752554,1.35E-06,9.14E-05,0.008560647,0.000537958,1.81E-07,0.006011518,0.000208531,0.548471391,5.71E-07,1.48E-06,0.999015331,0.00095461,9.48E-06,9.72E-06,8.73E-06,0.120201789,0.085433893,0.679211795,0.023364648,0.532040238,0.289504856,0.115249448,0.000394104
bottlenecks/Clean clothes/Shoes/shoes1434.jpg.txt,0.813722313,0.008777111,0.004694987,0.001431447,0.045123942,0.02502954,0.088461325,0.000695571,0.003716523,0.000322283,0.002770422,0.000920752,0.003480902,0.000076188,0.000595086,0.000181659,0.258463949,0.13626726,0.003322542,0.077878937,0.001600303,0.016123528,0.043031797,0.000730085,0.021013135,4.43E-06,4.29E-05,0.00115572,0.000417291,3.40E-05,0.000304315,0.000574923,0.439034849,9.74E-05,0.008955818,0.919729173,0.061601676,0.003125439,0.001455956,0.005034517,0.045538954,0.074369296,0.7321316,0.48255375,0.18678312,0.384201914,0.270393968,0.003915597
bottlenecks/Clean clothes/Shoes/shoes21.jpg.txt,0.425963134,0.169513881,0.072399281,0.10866268,0.101613194,0.015653487,0.025728613,0.005089007,0.005447694,0.009636069,0.015312759,0.024337655,0.010658426,0.007208441,0.001045329,0.001730359,0.166751593,0.012139959,0.092762366,0.255889624,0.022252057,0.002125462,0.014856048,0.000291926,0.00197877,0.003502043,0.003078888,0.004551247,0.001499544,2.27E-05,0.000253795,0.00405037,0.413993657,0.168603271,0.000657393,0.314107567,0.037214745,0.286557287,0.025516437,0.167343274,0.025700236,0.010969691,0.404306024,0.005983549,0.548072398,0.0705266,0.179085344,0.037974138
bottlenecks/Clean clothes/Shoes/shoes349.jpg.txt,0.012436823,0.011221852,0.447070479,0.044475365,0.034260653,0.010647156,0.385248631,0.0027082,0.00326002,0.013203756,0.009364015,0.01647532,0.006556974,0.00142889,0.00138967,0.000252136,0.513000071,0.033368833,0.052289646,0.076808371,0.050683606,0.013892223,0.026030134,9.18E-05,0.002186002,0.001182656,0.001184798,0.019300003,0.00224984,0.000128758,0.002195187,0.004275581,0.201132432,0.026771994,0.01512767,0.590181828,0.027778721,0.031316023,0.039665163,0.269158542,0.015885178,0.023335388,0.249729812,0.070337147,0.055886261,0.228820622,0.747513235,0.00773571
bottlenecks/Clean clothes/Shoes/shoes1489.jpg.txt,0.014930921,0.008231837,0.604506612,0.015194856,0.237786919,0.023297016,0.047740791,0.004302345,0.010156004,0.020561477,0.007155768,0.00137138,0.001411258,0.002306823,0.000383967,0.000662083,0.561837435,0.011776283,0.056212366,0.019113578,0.042119388,0.006981778,0.017309969,0.000321203,0.002573477,0.003973392,0.001712427,0.004744513,0.001156997,0.000368311,0.000181243,0.004424117,0.265193462,0.004486571,0.000927374,0.813703775,0.145077616,0.00556733,0.0164636,0.013773837,0.025454996,0.014091271,0.60766691,0.021495735,0.243799999,0.059136201,0.197590247,0.001563497
bottlenecks/Clean clothes/Shoes/shoes1766.jpg.txt,0.851172924,0.054949306,0.000785118,0.007407032,0.024725493,0.011353571,0.008044307,0.003223728,0.010632672,0.00520057,0.002938937,0.001945155,0.003091225,0.000183341,0.004221817,0.010124811,0.211607307,0.178109497,0.025878711,0.016239164,0.028697692,0.011532652,0.062654689,0.009633189,0.050761275,0.000266427,0.001519936,0.012023774,0.00313927,0.000567267,0.010902842,0.010886529,0.365579814,9.10E-05,0.003092693,0.896194458,0.097102612,0.000682398,0.000152287,0.002684512,0.077645943,0.172824428,0.89151305,0.169228882,0.17830509,0.064528741,0.354548425,0.004302412
bottlenecks/Clean clothes/Shoes/shoes187.jpg.txt,0.002706827,0.011955375,0.068502531,0.855787575,0.007579923,0.001580051,0.014326694,0.000385275,0.000874425,0.003757405,0.00096542,0.005346385,0.023282258,0.000290535,0.00224507,0.000414209,0.051210657,0.0139815,0.254041433,0.176822916,0.021521462,0.005018901,0.00732183,0.000616403,0.000462624,0.000348456,0.000333945,0.000493435,0.007876574,0.000227162,0.003379649,0.004474094,0.451868951,0.035840172,0.006052058,0.121115543,0.005930726,0.000762191,0.792871118,0.037428264,0.01740999,0.090607226,0.107027039,0.055046834,0.901766419,0.062449906,0.128359392,0.001015405
bottlenecks/Clean clothes/Shoes/shoes711.jpg.txt,0.001294489,0.046674449,0.087078333,0.619440615,0.006776361,0.004977938,0.030382071,0.00295056,0.001812284,0.009916968,0.001988148,0.108995676,0.072379619,0.001582863,0.003046649,0.000703006,0.00614542,0.001580835,0.152508766,0.184554979,0.002765216,0.000279609,0.003389792,8.29E-06,0.000445774,4.86E-06,7.61E-05,0.000297393,0.000237931,9.90E-05,0.001291237,0.000442723,0.645872116,0.001601559,0.83476758,0.006219039,0.000608358,0.00024303,0.024331152,0.132229328,0.01265785,0.00763523,0.062987872,0.909537017,0.122057132,0.008235506,0.840412021,0.000642341
