bottleneck_dir,shoes-primary-color-white,shoes-primary-color-beige,shoes-primary-color-black,shoes-primary-color-brown,shoes-primary-color-grey,shoes-primary-color-blue,shoes-primary-color-navy,shoes-primary-color-teal,shoes-primary-color-green,shoes-primary-color-olive,shoes-primary-color-pink,shoes-primary-color-red,shoes-primary-color-maroon,shoes-primary-color-purple,shoes-primary-color-orange,shoes-primary-color-yellow,shoes-secondary-color-white,shoes-secondary-color-beige,shoes-secondary-color-black,shoes-secondary-color-brown,shoes-secondary-color-grey,shoes-secondary-color-blue,shoes-secondary-color-navy,shoes-secondary-color-teal,shoes-secondary-color-green,shoes-secondary-color-olive,shoes-secondary-color-pink,shoes-secondary-color-red,shoes-secondary-color-maroon,shoes-secondary-color-purple,shoes-secondary-color-orange,shoes-secondary-color-yellow,shoes-secondary-color-none,shoes-type-boat/loafer,shoes-type-boots,shoes-type-sneakers,shoes-type-sport,shoes-type-sandals,shoes-type-dress-shoes,shoes-type-casual-shoes,shoes-others-toe-cap,shoes-others-gum-sole,shoes-others-with-logo,shoes-others-high-cut,shoes-materials-leather,shoes-materials-canvas,shoes-materials-suede,shoes-materials-rubber
bottlenecks/Unlabelled Clothes/Shoes/shoes2297.jpg.txt,0.009281839,5.48E-06,0.976076663,0.003446299,0.006960231,0.000805756,0.001972254,1.54E-05,0.000748057,8.71E-05,0.000105399,3.16E-05,0.000179086,0.000270436,6.37E-07,1.37E-05,0.178847566,7.37E-06,0.04508099,0.000697015,0.003923976,0.010888645,0.099662326,4.69E-05,0.002826979,9.16E-06,0.000101533,0.000200153,6.06E-06,0.000000012,2.08E-11,0.003176473,0.654524863,0.035139531,0.0022645,0.006251669,0.255250067,0.6870929,0.009216151,0.004785172,0.030986266,0.0010593,0.331947208,0.094884284,0.083935157,0.055599365,0.002465562,0.786157727
bottlenecks/Unlabelled Clothes/Shoes/shoes1524.jpg.txt,0.002462858,0.000486799,0.820435882,0.004690927,0.087512441,0.003552945,0.009049111,0.006573249,0.009415053,0.029002894,0.00057321,0.000826115,0.00329606,0.018935101,0.000135807,0.003051539,0.280040354,0.001009244,0.110068888,0.018650865,0.19697161,0.01421487,0.067758426,0.001487017,0.000736967,3.57E-05,0.002813722,0.00312751,0.004969939,0.024100242,1.66E-06,0.001969706,0.272043198,0.003647414,0.012304666,0.323989183,0.657234252,6.93E-05,0.00195654,0.000798626,0.053186763,0.00822781,0.884319961,0.176647916,0.077366687,0.017548269,0.121438131,0.000108207
bottlenecks/Unlabelled Clothes/Shoes/shoes2363.jpg.txt,0.043019485,0.000374581,0.640632033,0.003406164,0.286676794,0.000441095,0.016765049,0.000110521,0.002333057,0.000702167,0.000309429,0.003471979,0.001348409,9.67E-05,1.42E-05,0.000298338,0.218477741,3.52E-07,0.019158768,0.028185872,0.007297617,0.042923234,0.010152364,0.000169384,0.019905424,1.05E-05,0.000407226,5.97E-05,1.42E-05,4.92E-09,1.28E-10,0.000238691,0.652998924,9.42E-05,0.009359576,0.71069783,0.220938951,0.055656597,0.000779883,0.002472911,0.080311351,0.003250666,0.666257083,0.621314943,0.008720712,0.070006341,0.068588696,0.138956666
bottlenecks/Unlabelled Clothes/Shoes/shoes323.jpg.txt,0.038954023,0.017832222,0.430673569,0.172712877,0.068399184,0.010615898,0.014051206,0.000905013,0.003773154,0.179325238,0.025282415,0.002777797,0.003849241,0.018213654,0.011058849,0.001575588,0.066914909,0.024188735,0.055387344,0.49837321,0.00683471,0.006976847,0.007568444,0.001426472,0.00170486,0.001308671,0.000954257,0.000896444,0.000746913,0.001247182,4.17E-05,0.011681307,0.313747942,0.012603582,0.232535467,0.239582911,0.057825878,0.071099021,0.035162021,0.351191163,0.033361353,0.050419007,0.061765406,0.430105656,0.888564885,0.050571408,0.096727222,0.049184904
bottlenecks/Unlabelled Clothes/Shoes/shoes2546.jpg.txt,0.005042325,1.48E-05,0.759930611,0.011022728,0.208222315,0.001206277,0.002999566,0.000691134,0.002903865,0.001448495,0.000432928,0.000531141,0.004861054,0.000682699,4.33E-06,5.76E-06,0.10786102,6.64E-07,0.011809697,0.000751378,0.000730973,0.000377399,0.001034128,0.000103681,9.88E-05,1.08E-05,0.000175731,2.15E-05,0.000143363,1.84E-08,2.58E-11,0.00013107,0.876749694,0.006384404,0.015785564,0.429764777,0.483264238,0.000536481,0.061604481,0.002660025,0.047203496,0.000196962,0.070670173,0.482206404,0.048536196,0.075231969,0.101298221,0.000249287
bottlenecks/Unlabelled Clothes/Shoes/shoes2777.jpg.txt,0.00229691,0.000267045,0.876756191,0.049880307,0.023659816,0.000236101,0.002209476,0.000978025,0.001688872,0.001471166,0.000100865,0.002154711,0.037138943,0.000220842,0.000032777,0.000907874,0.146078318,0.000141812,0.069410101,0.113078892,0.014991706,0.009506855,0.045101322,0.000389689,0.000768889,0.000102689,0.000157149,0.000318825,0.005406802,0.000119864,4.56E-07,0.000805651,0.593620956,0.068659745,0.056051467,0.313555628,0.252282023,0.001104443,0.275007546,0.03333912,0.033655368,0.004852333,0.123917393,0.689188302,0.56158483,0.023604889,0.071691588,0.000117254
bottlenecks/Unlabelled Clothes/Shoes/shoes2737.jpg.txt,0.002909977,0.001105449,0.570054054,0.043708768,0.176549703,0.029736262,0.026045715,0.004753117,0.009985762,0.066148348,0.001137211,0.009926646,0.019083222,0.013342027,0.007298438,0.018215261,0.461485416,0.020669345,0.102027498,0.06619975,0.050789021,0.078127556,0.019929176,0.030209879,0.000800539,0.000192609,0.001143249,0.004249396,0.057935514,0.056084499,0.000231336,0.005095406,0.044829685,0.000390471,0.076294094,0.177407935,0.739404619,0.000282805,0.000880864,0.005339217,0.031858549,0.153164819,0.763380289,0.540848374,0.089044891,0.00939172,0.191325799,0.000597294
bottlenecks/Unlabelled Clothes/Shoes/shoes1946.jpg.txt,0.199991569,5.74E-05,0.000672263,0.745808482,0.021682514,0.000113882,0.000201824,4.61E-06,0.000692187,0.000900902,0.000590241,0.00172158,0.027301004,0.000169307,7.08E-06,8.50E-05,0.014022244,2.21E-07,0.957826734,0.005438661,0.00125755,0.004510714,0.002540235,0.000007104,0.000354761,0.000370024,3.06E-06,0.000450646,5.28E-06,7.53E-10,2.20E-10,0.000439584,0.012773294,0.020529565,0.004396645,0.030227618,0.008754232,0.909148336,0.016638504,0.010305109,0.134474963,0.001951557,0.082606599,0.103733257,0.083949201,0.050872799,0.036142111,0.441126734
bottlenecks/Unlabelled Clothes/Shoes/shoes1445.jpg.txt,0.005141788,0.000107217,0.182553187,0.217620209,0.268742263,0.019556129,0.080549099,0.002192122,0.010914972,0.139290214,0.004399588,0.023963001,0.04086899,0.000607847,0.002857285,0.000636098,0.929154575,0.000010309,0.003381287,0.033092521,0.002221302,0.001766802,0.019914486,6.47E-05,0.000524562,0.000132479,3.25E-05,0.000356766,0.00013213,7.31E-07,1.18E-08,0.000124581,0.009090227,0.011176199,0.015536305,0.375816762,0.520330608,0.0402808,0.00250831,0.034350943,0.058973145,0.032490503,0.701159775,0.395746559,0.002412132,0.45973742,0.369507432,0.023736835
bottlenecks/Unlabelled Clothes/Shoes/shoes1403.jpg.txt,0.001605595,2.40E-05,0.210333586,0.320027202,0.115625009,0.00031454,0.009798186,0.000462405,0.000214788,0.009456135,0.000184327,0.001183622,0.328836173,0.000322608,1.74E-05,0.001594508,0.143432498,0.000834641,0.207189396,0.016856534,0.015157588,0.001858828,0.035207607,0.000166021,0.000215577,0.001167295,0.000120576,0.000752906,0.003458186,1.75E-05,7.22E-06,0.000619521,0.572938144,0.862608254,0.001564864,0.006760199,0.000941603,0.001354863,0.095447384,0.031322777,0.050312605,0.00775931,0.022202607,0.08044555,0.694042206,0.026618065,0.4216443,0.004749758
bottlenecks/Unlabelled Clothes/Shoes/shoes1363.jpg.txt,0.003679078,0.005641531,0.187269509,0.747317255,0.027501181,0.001165638,0.004728057,0.000359823,0.000802277,0.004941948,0.003204637,0.00147229,0.006511925,0.001838612,0.003304394,0.000261811,0.023927283,0.018365685,0.063479111,0.286943734,0.002509182,0.002274259,0.002288703,0.000122769,0.000249881,0.00071296,0.00013342,9.47E-05,0.000879476,0.000380499,0.000262139,0.000925458,0.596450687,0.084370889,0.076021329,0.04048001,0.019832665,0.002058937,0.204105824,0.57313031,0.019994035,0.023978164,0.016408542,0.519174278,0.90542835,0.014688285,0.259420157,0.00191251
